"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","261005586.592179","312625698.324022","439888268.156425","497597765.363128","715754189.944134","1550670391.06145","1606536312.84916","1715586592.17877","1835977653.63128","2017932960.89385","2559217877.09497","2711955307.26257","2071229050.27933","1590245810.05587","1505843575.41899","1587748603.35196","1586519553.07263","1790519553.07263","4234374301.67598","5007906282.35272","5479533272.29581","5911452513.96648","6811899441.34078","3145754189.94413","2073575418.99441","6760111731.84357","2869385474.86034","2261313558.85104","2258694733.99913","2133814990.29159","2010923827.66032","2038113882.34817","2269613874.50069","2240027486.04531","1644444117.51288","1947388024.99819","2428941212.84215",
"Africa Eastern and Southern","AFE","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","20978363416.6474","25146990505.9688","30395482020.9076","43974881606.3046","47283379343.6351","39456093020.7796","34611367028.3038","34316056666.6792","27993885576.3002","29646619491.9851","35395160720.1364","41881139440.6909","42798691171.1327","46819317598.3275","46002370461.5313","49861211066.5704","51424069375.5848","58129054989.3627","68570902526.5126","69972633413.3359","74837479441.1432","74430039633.9139","71294417261.0105","69155774390.6917","69146023777.7622","72523324278.4514","91164535930.1788","118914435412.018","144605775112.539","169736580804.896","210587994055.593","258430607503.519","221178736741.113","255576502647.016","307399733526.738","320740462926.7","329038762753.481","334413092529.963","288510341729.23","253434829573.141","271082014199.259","295447490443.075","282265989557.123","234147780253.66","294261965156.716","360784039010.618",
"Afghanistan","AFG","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","773900000","917600000","1060400000","969500000","1041500000","1400900000","1075700000","1320100000","1060800000","851800000","726900000","","","","","","","","","","","","","","","","","","","3731566983.04508","4067099313.62424","5771312262.28346","7207294480.21818","9771239684.44182","10054627253.622","8246630206.61261","8462264707.36776","7327477073.75444","7956456168.29306","7987638963.17731","7370819804.67106","6982852962.73388","","",
"Africa Western and Central","AFW","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","24502958072.7697","27610305709.2684","29731918914.287","38004264534.6209","43518464538.9112","35269645464.7003","28907508581.159","24246349939.7898","23848066727.6902","19529556977.974","20324486726.0833","20814540883.2","20647680290.97","25274827812.3134","29286374628.3218","27759205843.9158","27717569953.9868","26973384718.0461","21740021253.8999","22910309896.7393","23498198276.0743","24787891995.2806","35028788318.2932","34005319334.3942","40471008080.5194","41652402987.9377","53348619675.9391","56738819016.8339","76011181321.3167","86386543380.6806","109788776744.6","141806752068.163","119664288825.259","150711473924.475","188215955014.873","183045039387.344","184554606337.802","195735508262.504","171969888548.664","142043996445.845","152633513528.484","186144869619.841","225833680526.482","187820210337.611","198697565314.322","221069817138.692",
"Angola","AGO","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","2042000000","1673000000","1726000000","2506000000","2513000000","3385500000","3186300000","4030416000","3024500000","3017000000","3519068000","4463751000","5202420000","4714530000","5703640000","5738980000","6697310000","7082116361.74","8801255130","10634512711.3","15144220833.7578","16288817457.53","26304709814.87","43121530792.351","41829350282.61","35421222361.08","43898332404.654","45848189114.4545","49393072408.3344","53537918142.1493","37968764912.5352","25657029920.0315","28256537255.8004","25887355607.4086","22299328651.1375","15145687472.4356","18845211531.6228","28564199364.7172",
"Albania","ALB","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","371400000","402600000","459800000","404900000","372300000","362000000","336300000","335600000","408500000","483700000","485000000","314400000","629600000","763400000","733500000","836200000","1111400000","685812500","783460000","946200000","1350300000","1595100000","1827510000","2265931866.56309","2892746702.39426","3500349094.15058","4073117268.58924","5344137205.62995","6728698636.7272","6028667300.38073","5780725471.9466","6709055032.56962","5852333729.10086","6008971534.94717","6239216168.08445","5070259616.19859","5441410775.47024","6122452299.7936","6854286781.72701","6925814672.05674","5671285653.1709","8003844500.35572","9016395289.60555",
"Andorra","AND","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2032100364.39043","1727289784.68077","2143324928.2478","",
"Arab World","ARB","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","123288251703.234","148422939839.436","194196507371.436","233362669890.669","279519313955.703","269280798155.974","262767924939.123","248122629813.63","210191856787.724","175548523349.829","175981165433.209","180797850232.35","195701919502.726","213006828083.149","258299091486.067","262582118813.466","242241464176.794","221411533562.79","240197650599.375","258611729271.063","267231243233.908","253688188806.155","250883142547.443","274164882708.416","268070775352.934","284318967060.207","317555000041.679","402168359589.896","490144630610.059","569441323569.324","709575511883.801","912547155992.811","825811374240.587","896221842548.317","974843650458.614","1113894166289.74","1192896352586.26","1257529120838.18","1127555144585.85","1018995388598.38","1070175119996.04","1137301250143.62","1157704586980.31","952251648611.988","1106888131157.26","1320067409232.91",
"United Arab Emirates","ARE","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","3507000000","4766000000","5032000000","8842000000","13182000000","11865000000","6877000000","6343000000","6407000000","5705000000","6906000000","7909000000","7594000000","6657000000","6846000000","11566000000","19319500000","21975400000","27273600000","26035117000","30212204066.2181","37511586708.7859","38797517536.8013","32903076780.5168","33068803786.7906","27594942433.1669","13337220000","18724510000","27823640000","34796990000","41261872519.761","53551718519.8869","68242684098.4796","49682786813.2391","68779495712.0305","88418247225.6699","83387067666.9896","90301801003.8742","80936630075.2277","76622786928.8407","75420138818.6909","89310577213.5266","86821661280.357","66573932488.5402","52342831894.948","72392236325.9703","97558460692.3212",
