Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,32739769.33557866,36550415.98164595,40131697.76093927,45182592.70174987,51142627.68535432,61113547.706327125,66172069.38190046,67023906.42996258,68881969.71043085,79635252.19631125,77216557.77028507,91792014.19593182,112604247.61469465,150105204.1879433,183742736.6620916,219197631.85791948,243407178.24834812,287602945,347403122.6310145,424825951.3209158,468975906.42258674,422476790.19912493,403096807.9882975,396710950.97890383,371529110.1813845,397760784.2931045,405586592.1787716,487709497.2067042,596648044.7,695530726.2569838,764804469.2737436,872067039.1,958659217.9,1083240223.4636884,1245810055.8659189,1320670391.0614507,1379888268.1564205,1531843575.4189916,1665363128.4916177,1722905027.9329593,1873452513.9664817,1896456983.240218,1961843575.4189897,2044111731.843577,2254830726.256983,2360017318.4357514,2469782681.5642505,2677641340.7821245,2843024581.005589,2553793296.0893855,2453597206.7039084,2637859217.877092,2615208379.8882713,2727849720.6703925,2790849721,2962907262.5698285,2983635195.5307302,3092429050.279327,3276184357.5418983,3395798882.6815624,2558906303.8809757,3103184101.513544,3544707788.056635
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,18478095142.178127,19366314294.08819,20506467177.86993,22242734491.04101,24294329779.90371,26619560806.504124,28732792825.15573,31592963095.07508,34216506003.772453,38498685902.31992,41938907715.592155,45920167032.338974,49440744172.33801,64933825429.426285,79888146173.00882,84955085378.78699,85050300129,94566922081.61337,105623414443.52116,125656371097.88213,166475050971.98416,173673510912.35077,1.64114E+11,175108664048.27292,162752141155.35208,135795509169.56584,153368683414.31027,186594742538.6729,205635932770.80908,218577418670.29495,254673510115.5914,275622021261.09033,240210577721.91196,238353057845.69128,241158029890.4101,270813961389.26236,268992901985.36945,284065411886.6554,267286689939.29993,263674195227.71338,285403765401.25354,260218617002.66882,267142068310.10464,354907412306.55457,441359590323.39453,514927086452.78864,578633287253.3544,664099392606.4022,711800460143.4308,723512528253.9102,867040920627.2247,971667511047.1056,979996860991.4045,986342932619.1067,1006992481353.9384,9.32513E+11,890051427265.9961,1028394291260.5892,1012521425296.3503,1006191000190.4817,9.2888E+11,1086530704900.4985,1185137703650.989
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.1111113,548888895.5555555,546666677.8,751111191.1,800000044.4444438,1006666637.7777816,1399999966.6666706,1673333417.7777815,1373333366.666672,1408888922.2222219,1748886595.5555604,1831108971.1111116,1595555475.5555615,1733333264.4444401,2155555497.777782,2366666615.555558,2555555566.6666656,2953333417.777778,3300000108.888889,3697940409.6109815,3641723321.995463,3478787909.0909076,3943757890.2108994,3794672056.0721784,2703463266.0663104,2510000010.4033685,2401802756.9742813,2457448799.694692,2956521987.0804925,3120608092.1149035,4268794804.948655,4645985407.699308,3301257433.165403,2906659226.7634854,2927570514.0681605,3082301548.5277243,3466962558.7266164,4062011295.0004106,4021392780.317734,3668447462.338169,3818805753.566339,4005392682.2175455,3825701405.519585,4520946849.320798,5224896718.677819,6203256497.090449,6971758332.889178,9747886105,10109296957.656916,12416152648.057318,15856668496.388027,17805098367.295208,19907329905.977627,20146416876.388603,20497128600.336273,19134221744.52941,18116572399,18753456506.57082,18053222734.88808,18799444414.599834,19955929061,14266499429.874603,24029058080.58934
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,10411646287.305807,11135924727.94091,11951712282.04281,12685805889.893688,13848998668.618383,14874755833.538198,15845575303.22239,14428492961.854902,14880501861.118092,16882284662.365694,23504960311.92342,20843326170.63019,25269456358.52884,31841146881.85745,44215328355.868744,51445309626.47995,62129985410.06638,65316034540.71203,71200526845.37465,88629333635.71564,112032331232.32814,211005911802.91666,187165406370.02618,138116898441.3049,114263904328.18219,116508527443.66191,107507001440.37492,110281682790.49886,108944735237.17415,101770140749.65692,121803568895.98682,127939039832.68904,122575953686.48587,127980941949.69606,133143476720.13681,2.05687E+11,261262106172.31235,274376968923.49564,294949797405.7415,137292485423.69292,140132777859.08096,147524718751.24918,176588559103.8428,204455023741.48883,253453654650.33887,310070743908.9257,396077046021.0556,465627259599.12537,567853448132.0476,508492534468.29395,598607469639.5261,6.82176E+11,737739503299.7338,834097010134.9913,894505003403.4922,769263195356.9487,692114931613.2545,685630289666.5145,768158194632.3976,823405580187.9126,786962436538.3903,844927536437.8345,875393693658.0829
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,1073496781.7662317,1109887411.8455951,1171770683.8201313,1146195657.7506976,1209375777.4373512,458041561.73272264,498592163.8741955,606632282.6385335,753002711.1400408,862341437.7896379,957292767.8905772,1057849387.2172273,1227605486.633294,1486142016.3839629,2572826339.5695486,2939791605.947758,3161052622.734137,3680721788.246376,3409724559.0797086,4280533382.5488076,5934073603.678929,5553824463.879607,5553824463.879607,5787823808.695654,6135166254.180604,7558613008.026753,7076793822.742469,8089279284.615378,8775116269.230785,10207922517.056883,11236275842.809381,10401188707.280796,8307826847.398347,6084688936,4438321017.390676,5538749259.947146,6535434716.002249,7675412600.665131,6506381416.532363,6152922942.245381,9129594815.576616,8936079251.420929,15285592486.253225,17812704627.02817,23552057820.45993,36970901023.78932,52381025102.32092,65266415707,88538664884.26491,70307196474.12726,83799473759.72002,111789747670.58998,128052915202.98914,132339108708.40817,135966802156.54205,90496420626.17885,52761617225.92533,73690155046.55495,79450688232.00122,70897962712.62135,48501561230.00106,66505129989.24297,106782770714.61908
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,416800389.3315161,427008505.1414535,430390259.26694727,506566350.52893776,540551743.3,618684063.1708906,713558418.0401039,772959619.3872814,763075940.6274526,753386949.8367059,739011521.7174767,824521974.7853951,691937600.6181567,847351538.0874596,893038105.4052533,1102124084.7056966,1187351042.049949,1323266417.5890002,1553271649.5600452,1909858155.5125089,2079284351.2304163,1907146713.4119675,1350198420.5267494,1306260199.873033,1857337995.3380003,1897050116.5501215,2097326250.000001,2080796250.0000002,2051236249.999999,2253090000.0000005,2028553750.0000033,1099559027.7777805,652174990.8,1185315468.462948,1880950864.4131072,2392764853.421067,3199640815.416305,2258513974,2545964540.8838267,3212121650.977547,3480355258.041222,3922100794,4348068242.195124,5611496257.142302,7184685781.518747,8052077248.146391,8896075004.635157,10677324852.882202,12881352893.685501,12044205549.657099,11926926615.801512,12890760315.145994,12319834195.331007,12776224496.97181,13228147516.11681,11386853113.018885,11861199830.83958,13019726211.736904,15156424015.197683,15401826127.253878,15162734205.246206,17930565118.817616,18916378860.548813
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,45407815.76287583,51503578.74858734,55904628.598670684,63107345.80188947,72349636.28300034,61471706.87326444,66674435.43846502,67417977.98194017,69309266.68027122,80500787.14295356,78617711.1,89406608.14581497,113414397.36563481,150841639.29744425,186557081.9981372,220112572.2053308,227283850.8312707,253997897.22696835,308020261.2,411548748.3547288,446377776.7980006,388983266.1998866,375914743.5810055,327850042.51587254,330073080.63709784,346742714.6751525,481996012.8690715,611299924.5405064,721425939.1515492,795489582.0449094,1028989692.0678704,1106891362,1209992020.2954285,1007090269.8695606,1017544068.8407997,1178745282.8677995,1224024139.212948,1180645571.8643007,1211953994.0571418,1239840639.5724812,1429047881.8427482,1546912331.8806996,1755989353.9328017,2361636235,2895047587.1188765,3159826891.508724,3456264324.630149,3952395030.0969744,4085780202.8783817,3674190066.4450355,3449925693.5818152,3629133062.551677,3188653258.610012,3193513470.4394116,3271686452.4768586,2789882569.100497,2896611878.625796,3000160414.6379495,3218418631.6757874,3155150255.9119515,2891002460.2915277,3325143693.2871447,3352031094.229142
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,42878645254,45816725647.74562,48759041412.52691,53500303194.61334,59759576769,64837603465.74795,59723962729.46627,64327564679.90054,35102917960.30877,38249920379.11874,43245967541.03431,49980195754.66246,59593479017,75614829099.28215,143722246048.1691,158820613451.27972,197693822439.76968,228193318228.0029,252397273549.79654,341727182381.6571,464922706719.9846,480094377493.2184,449527418217.1355,423119939334.2018,430640108344.53735,424154835582.9466,411512791338.67236,445512045932.97614,429625737199.9463,460896461734.4387,651231622555.5944,480685955944.0231,485480997990.0549,499344733364.6101,531889376829.67816,5.64846E+11,615168379200.2694,662599381239.7876,649474839551.0011,717783506460.0802,820573600760.5153,803225963243.4406,808316115359.4574,894211049434.9725,1063199673336.6511,1304960956754.6982,1546220845671.4585,1798723747331.1587,2264025451574.6787,1.98793E+12,2346088525053.0815,2567292128049.546,2802930798518.449,2860928547664.756,2907245176944.268,2555806089294.926,2.53939E+12,2639754813075.267,2845898419150.442,2871654771803.3184,2535508549307.2983,2930480380718.332,3543339785306.0454
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,4309320631.506208,4898735703.922287,4068608914.0756836,4381212965.463048,5070374487.800335,5250346351.942331,5415034161.217132,5716214653.033176,6212626876.138154,6901239647.000775,4853162153.345488,5529904287.344251,6365198655,8442808709.775398,12861757925.111465,14720728248.535479,19213158779,24871775164.604263,23775764224.683167,31225659620.995136,43599160050.33216,49333424135.113144,46622718605.284744,42803323345.13756,41807954235.90298,40603650231.544556,33943612094.797073,36384908744.21145,36275674203.21445,41464995913.91993,50701443748.29744,51552165622.44613,54239171887.76896,55625170253.33696,59305093979.84193,65743666575.865005,73571233996.18623,78839008444.56541,75674336283.18593,84445473110.95973,104337372362.15086,103311640571.81796,109816201497.61703,124346358066.71187,147824370319.94626,180617467964.60223,222116541865.21408,2.57916E+11,315474615738.5978,253547358747.44687,3.00189E+11,360832739558.38477,384610125384.0337,400218529747.5963,414105366758.9105,370275469560.1659,369255326235.7713,390516804016.5006,427049432149.3443,417989721734.49347,349473015336.9391,415178792769.8843,507063968273.3127
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,8683931737.178902,9352079636.434813,9956360935.467842,10814902711.560268,11950069003.900616,13030230946.588398,14119481482.687786,15269691463.906464,16417163070.050707,18183364513.005203,20377311969.00353,22995804896.100597,27079859127.51971,35890248767.89953,43135026843.41796,48164226604.04936,50055185706.11187,57923217385.60621,68879448055.09535,81716337961.18181,97275421979.28004,87795190763.78423,82171932160,109489999999.99992,112988571428.57103,88416666666.66661,106213829787.23413,109029439252.33595,126928000000.0002,76629657864,141352654305.1632,189719984268.48532,228778917308.16995,236741715015.0153,257439999999.99988,258031749999.99985,272149750000.00003,292859000000.0003,298948250000.0003,283523000000.0002,284203750000.0004,268696749999.99982,97724004251.86023,127586973492.17696,164657930452.7869,198737095012.2823,232557260817.3079,287530508430.56824,3.61558E+11,332976484577.6185,423627422092.4894,530158122010.4414,545982375701.1276,552025140252.2458,526319673731.6389,594749285413.2112,557532320662.9552,643628393281.3644,524819892360.1759,447754683615.2246,385740508436.96564,487902572164.3484,631133384439.9451
